,상호,주소,가격,셀프,상표,구
235,서계주유소,서울 용산구  청파로 367 (청파동),2829.0,N,GS칼텍스,용산구
236,(주)디오티디 은평유니콘주유소,서울 은평구 통일로 1151 (진관동),1644.0,N,HD현대오일뱅크,은평구
237,불광주유소,서울 은평구 연서로 314 (불광동),1678.0,Y,HD현대오일뱅크,은평구
238,타이거주유소,서울 은평구 수색로 188 (증산동),1679.0,Y,SK에너지,은평구
239,㈜오일닷컴 다회주유소,서울 은평구 증산로 441,1684.0,Y,S-OIL,은평구
240,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),1695.0,Y,HD현대오일뱅크,은평구
241,박석고개주유소,서울 은평구 통일로 945 (갈현동),1705.0,Y,SK에너지,은평구
242,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),1705.0,Y,GS칼텍스,은평구
243,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),1705.0,Y,SK에너지,은평구
244,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),1714.0,Y,GS칼텍스,은평구
245,뉴타운셀프주유소,서울 은평구 통일로 1031,1715.0,Y,S-OIL,은평구
246,지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),1724.0,Y,GS칼텍스,은평구
247,대성산업㈜ 대성주유소,서울 은평구 통일로 642,1725.0,Y,GS칼텍스,은평구
248,지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),1744.0,Y,GS칼텍스,은평구
249,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),1778.0,N,자가상표,은평구
250,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),1683.0,Y,HD현대오일뱅크,종로구
251,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,1755.0,Y,SK에너지,종로구
252,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),1787.0,Y,HD현대오일뱅크,종로구
253,안풍주유소,서울 종로구 자하문로 303,1799.0,N,S-OIL,종로구
254,자하문주유소,서울 종로구 자하문로 248 (부암동),1805.0,Y,SK에너지,종로구
255,구도일주유소특종,서울 종로구 평창문화로 90 (평창동),1830.0,N,S-OIL,종로구
256,SK북악주유소,서울 종로구 평창문화로 137,2268.0,N,SK에너지,종로구
257,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),2315.0,N,GS칼텍스,종로구
258,다산주유소,서울 중구 다산로 233,1729.0,Y,S-OIL,중구
259,약수주유소,서울 중구 다산로 173,1758.0,Y,SK에너지,중구
260,장충드림주유소,서울 중구 동호로 296,1795.0,Y,S-OIL,중구
261,세화주유소,서울 중구 왕십리로 403,1818.0,N,알뜰주유소,중구
262,HD현대오일뱅크㈜직영 장원주유소,서울 중구 동호로 203 (신당동),1858.0,N,HD현대오일뱅크,중구
263,SK에너지(주) 퇴계로주유소,서울 중구 퇴계로 228 (필동2가),1896.0,N,SK에너지,중구
264,장충주유소,서울 중구 장충단로 202 (장충동1가),2078.0,N,SK에너지,중구
265,신당동주유소,서울 중구 다산로 242 (신당동),2198.0,N,SK에너지,중구
266,필동주유소,서울 중구 퇴계로 196 (필동2가),2519.0,N,GS칼텍스,중구
267,서남주유소,서울 중구 통일로 30,2749.0,N,SK에너지,중구
268,구도일주유소 동천,서울 중랑구 동일로 654 (면목동),1667.0,Y,S-OIL,중랑구
269,대원주유소,서울 중랑구 동일로 600,1667.0,Y,GS칼텍스,중랑구
270,우림주유소,서울 중랑구 용마산로 487 (망우제3동),1667.0,Y,GS칼텍스,중랑구
271,(주)자연에너지 대창주유소,서울 중랑구 동일로 636 (면목동),1667.0,Y,HD현대오일뱅크,중랑구
272,면목SELF주유소,서울 중랑구 동일로 627 (면목동),1667.0,Y,SK에너지,중랑구
273,오천만주유소,서울 중랑구 동일로 547 (면목동),1677.0,Y,S-OIL,중랑구
274,대양주유소,서울 중랑구 봉우재로 105 (상봉동),1677.0,Y,GS칼텍스,중랑구
275,(주)기지에너지,서울 중랑구 용마산로 716 (신내동),1679.0,N,S-OIL,중랑구
